Age,Date,Feed,FI,Culling,Death,Live_Bird,Std_Body_Weight,ADG,ADG_actual,Total_Body_Weight,Body_Weight,FCR,FCR_actual,IP,IP_actual,Ayam_Dipelihara,persen_Live_Bird
2,08/01/2023,150,30,0,6,4986,74,13.0,27.5,274.23,55.0,0.55,0.5469861065528935,500,491.9100236779794,5068,98.3820047355959
3,09/01/2023,250,50,0,5,4981,90,12.0,22.33333333333333,333.727,67.0,0.75,0.7491152948367976,298,292.6659650969044,5068,98.28334648776638
4,10/01/2023,350,70,0,6,4975,109,23.0,22.5,447.75,90.0,0.78,0.7816862088218872,288,283.1681440106854,5068,98.16495659037096
5,11/01/2023,500,100,0,8,4967,134,22.0,22.4,556.304,112.0,0.9,0.8987891512554287,246,243.9287906691222,5068,98.00710339384374
6,12/01/2023,650,131,0,9,4958,163,25.0,22.83333333333333,679.2460000000001,137.0,0.96,0.956943434337486,235,232.6847923791985,5068,97.8295185477506
7,13/01/2023,800,161,0,12,4946,193,20.0,22.42857142857143,776.522,157.0,1.03,1.030234816270498,216,212.5112341777348,5068,97.59273875295976
8,14/01/2023,950,191,0,6,4940,228,35.0,24.0,948.48,192.0,1.0,1.001602564102564,238,233.9384372533544,5068,97.47434885556432
9,15/01/2023,1150,232,0,4,4936,269,22.0,23.77777777777778,1056.304,214.0,1.09,1.088701737378633,216,212.4630006428374,5068,97.39542225730072
10,16/01/2023,1350,272,0,2,4934,313,40.0,25.4,1253.236,254.0,1.08,1.07721131534683,233,228.9667923645824,5068,97.3559589581689
11,17/01/2023,1600,323,0,6,4928,362,48.0,27.45454545454545,1488.256,302.0,1.08,1.07508385654081,252,247.1864129322693,5068,97.23756906077348
12,18/01/2023,1900,384,0,7,4921,414,40.0,28.5,1682.982,342.0,1.13,1.12894849736955,247,244.8968366498803,5068,97.09944751381217
13,19/01/2023,2200,445,0,5,4916,469,55.0,30.53846153846154,1951.652,397.0,1.13,1.12725014500536,265,262.1464488672234,5068,97.00078926598265
14,20/01/2023,2550,516,0,6,4910,528,34.0,30.78571428571428,2116.21,431.0,1.2,1.204984382457318,251,248.549488856316,5068,96.88239936858722
3,27/01/2023,1700,85,0,61,19882,90,102.0,34.0,2027.964,102.0,0.84,0.8382791804982732,401,394.8712556661526,20380,97.55642787046123
5,29/01/2023,3100,156,0,85,19681,134,151.0,30.2,2971.831,151.0,1.04,1.043127957141574,285,280.4249075262323,20380,96.57016683022572
7,31/01/2023,4550,231,0,185,19437,193,210.0,30.0,4081.77,210.0,1.11,1.114712489924714,262,257.7646341139962,20380,95.3729146221786
8,01/02/2023,5450,277,0,29,19408,228,35.0,30.625,4754.96,245.0,1.15,1.146171576627353,258,253.6032768699066,20380,95.2306182531894
10,03/02/2023,7300,372,0,16,19376,313,328.0,32.8,6355.328,328.0,1.15,1.148642524823266,277,271.1664462175193,20380,95.07360157016684
12,05/02/2023,9300,476,0,13,19344,414,395.0,32.91666666666666,7640.88,395.0,1.22,1.21713729308666,262,256.0932447433196,20380,94.91658488714428
